iter	Passed	Remaining
436	1418	1067
437	1421	1064
438	1424	1061
439	1427	1057
440	1431	1055
441	1434	1051
442	1438	1048
443	1440	1045
444	1444	1041
445	1448	1038
446	1451	1035
447	1454	1032
448	1457	1029
449	1460	1025
450	1464	1022
451	1467	1019
452	1470	1016
453	1474	1013
454	1477	1010
455	1480	1006
456	1483	1003
457	1487	1000
458	1490	996
459	1493	993
460	1496	990
461	1499	987
462	1503	983
463	1506	980
464	1509	977
465	1512	973
466	1515	970
467	1518	967
468	1521	963
469	1524	960
470	1527	956
471	1530	953
472	1533	950
473	1536	946
474	1539	943
475	1543	940
476	1545	936
477	1548	933
478	1551	929
479	1554	926
480	1557	923
481	1561	919
482	1563	916
483	1567	913
484	1570	909
485	1573	906
486	1576	903
487	1579	899
488	1582	896
489	1585	892
490	1588	889
491	1591	886
492	1594	883
493	1598	879
494	1600	876
495	1604	873
496	1607	870
497	1610	866
498	1614	863
499	1617	860
500	1620	857
501	1623	853
502	1626	850
503	1629	846
504	1632	843
505	1635	840
506	1638	836
507	1641	833
508	1644	830
509	1646	826
510	1649	823
511	1652	819
512	1655	816
513	1659	813
514	1662	810
515	1665	807
516	1669	803
517	1672	800
518	1674	797
519	1678	794
520	1681	790
521	1684	787
522	1687	784
523	1690	780
524	1694	777
525	1697	774
526	1700	771
527	1703	767
528	1706	764
529	1709	761
530	1713	758
531	1716	755
532	1719	751
533	1722	748
534	1725	745
535	1728	741
536	1731	738
537	1734	734
538	1737	731
539	1740	728
540	1743	725
541	1746	721
542	1748	718
543	1751	714
544	1754	711
545	1757	708
546	1759	704
547	1762	701
548	1765	697
549	1768	694
550	1771	691
551	1774	687
552	1777	684
553	1779	681
554	1782	677
555	1785	674
556	1788	671
557	1791	667
558	1795	664
559	1798	661
560	1801	658
561	1804	654
562	1807	651
563	1810	648
564	1814	645
565	1817	642
566	1820	639
567	1823	635
568	1826	632
569	1829	629
570	1832	625
571	1836	622
572	1839	619
573	1842	616
574	1845	612
575	1848	609
576	1851	606
577	1854	603
578	1858	600
579	1861	596
580	1864	593
