iter	Logloss
0	0.6841421998
1	0.6753552419
2	0.6658772126
3	0.6573742601
4	0.6493299999
5	0.6428900481
6	0.6363677669
7	0.6288262729
8	0.6217450186
9	0.6146784351
10	0.608431555
11	0.6015384821
12	0.5964295424
13	0.5904784909
14	0.5858663749
15	0.5813791147
16	0.5769443473
17	0.5723926475
18	0.5685142533
19	0.5636581204
20	0.5586064399
21	0.5544030613
22	0.551073674
23	0.5470397206
24	0.5431284566
25	0.5382167979
26	0.5345297421
27	0.5306286299
28	0.5273748247
29	0.5244846924
30	0.5205500295
31	0.5169104524
32	0.5135885243
33	0.5118066505
34	0.509031408
35	0.5062010419
36	0.5038055358
37	0.5010145702
38	0.4981616719
39	0.4950844415
40	0.4919951712
41	0.4893505723
42	0.4868679085
43	0.4844565246
44	0.4815913388
45	0.479522767
46	0.4767335037
47	0.474898023
48	0.4730571259
49	0.4713564054
50	0.4693730105
51	0.4671887442
52	0.4654307646
53	0.4637843939
54	0.462738718
55	0.4602809078
56	0.4583445891
57	0.4570353355
58	0.4551862365
59	0.453278764
60	0.4525151746
61	0.4508778106
62	0.4492882038
63	0.4475815098
64	0.4463974525
65	0.4450406893
66	0.4437540608
67	0.4425670322
68	0.4415640995
69	0.4403372372
70	0.4394637102
71	0.4383199819
72	0.4371790393
73	0.4359982628
74	0.4355150575
75	0.43504643
76	0.4332739035
77	0.432057224
78	0.4304425779
79	0.4299079322
80	0.4284548498
81	0.4272663356
82	0.4262710788
83	0.4260841354
84	0.4248817552
85	0.4237268227
86	0.422827297
87	0.4215199004
88	0.420890576
89	0.41984815
90	0.4184770255
91	0.4178442036
92	0.4171394828
93	0.4163227197
94	0.4157027115
95	0.4145435387
96	0.413512936
97	0.4129254262
98	0.4118010732
99	0.4109790485
100	0.409604767
101	0.4091381824
102	0.4080266121
103	0.4071915261
104	0.4065998379
105	0.4060677612
106	0.4050711425
107	0.4042012986
108	0.4030501731
109	0.4020125445
110	0.4009012528
111	0.4000470082
112	0.3992797666
113	0.398560375
114	0.3975003689
115	0.3968409912
116	0.396309812
117	0.3955720975
118	0.3951399612
119	0.394205399
120	0.3939423784
121	0.3936679678
122	0.3933205131
123	0.3930106327
124	0.39234621
125	0.3915705188
126	0.3912307399
127	0.390599156
128	0.3896015779
129	0.3887203131
130	0.3883822366
131	0.3874570525
132	0.3871273018
133	0.3862968275
134	0.3857571058
135	0.3853464804
136	0.3846738866
137	0.3839125566
138	0.3831298704
139	0.3826748923
140	0.3820191668
141	0.3809993349
142	0.3802075183
143	0.3797567805
144	0.3793025452
145	0.3790783989
146	0.3786890676
147	0.3782276827
148	0.3773813615
149	0.376847273
150	0.376305849
151	0.3758613014
152	0.3753553162
153	0.3745706492
154	0.374306081
155	0.3739881535
156	0.3735021626
157	0.3731032366
158	0.3727390993
159	0.3722851117
160	0.3714889929
161	0.3712157275
162	0.3705700609
163	0.3700803869
164	0.369545215
165	0.3687769211
166	0.368265829
167	0.3677425114
168	0.3671356573
169	0.3666746128
170	0.3661724346
171	0.3658712824
172	0.3654960957
173	0.3649120524
174	0.3645474509
175	0.3640714262
176	0.3635120817
177	0.3631376379
178	0.3625849169
179	0.3622097921
180	0.3617504499
181	0.3612649233
182	0.360810719
183	0.3601644334
184	0.35968129
185	0.3592797022
186	0.3590708456
187	0.3588686434
188	0.3584791265
189	0.3580655916
190	0.3575654562
191	0.356983239
192	0.3564037455
193	0.3561034909
194	0.3554395014
195	0.355166236
196	0.3548480918
197	0.3543164793
198	0.3539670747
199	0.3535795076
200	0.3533403192
201	0.3530087113
202	0.3526256631
203	0.3522795702
204	0.3517212781
205	0.3514054552
206	0.351006003
207	0.3505836471
208	0.3501655935
209	0.3497389973
210	0.3493236364
211	0.3488060756
212	0.3484605398
213	0.3482301414
214	0.3475789347
215	0.3473192258
216	0.3470946151
217	0.3466992794
218	0.3464588219
219	0.3459803831
220	0.3455581201
221	0.3452284312
222	0.3446183582
223	0.3441744296
224	0.3438571829
225	0.3436179635
226	0.3434036905
227	0.3432021692
228	0.3428324608
229	0.3423844467
230	0.3421533055
231	0.3418185406
232	0.3416060937
233	0.3414224002
234	0.341206363
235	0.3409851569
236	0.3406195031
237	0.3403621774
238	0.3400764388
239	0.3397045948
240	0.3394478262
241	0.3389823867
242	0.3385985957
243	0.3383320466
244	0.3379145191
245	0.3376856373
246	0.3373961536
247	0.3369967323
248	0.3368099437
249	0.3366178625
250	0.3364031252
251	0.3360418355
252	0.3358421713
253	0.3356119585
254	0.335445938
255	0.3352520616
256	0.3348823532
257	0.3346596306
258	0.3343503074
259	0.3339620285
260	0.3336798182
261	0.3331160168
262	0.3328747237
263	0.3325187884
264	0.3321523918
265	0.3318921567
266	0.3316800193
267	0.3314475781
268	0.3310565446
269	0.3308159942
270	0.3304163873
271	0.3299491836
272	0.3296939625
273	0.3293563502
274	0.3287348563
275	0.3283693263
276	0.3279917255
277	0.3277131055
278	0.3274574512
279	0.3271534515
280	0.3268142607
281	0.3263945357
282	0.3261021736
283	0.3256402935
284	0.3253553596
285	0.3249118333
286	0.3246113311
287	0.3242952606
288	0.3240168264
289	0.3237720048
290	0.3235968538
291	0.3232716837
292	0.3230873092
293	0.322836607
294	0.3226164843
295	0.3223588491
296	0.322154697
297	0.3219581589
298	0.321675082
299	0.3212761869
300	0.3210287655
301	0.3207157592
302	0.3205243588
303	0.3202811777
304	0.3200330444
305	0.3198328231
306	0.3195533985
307	0.3192164671
308	0.3187442493
309	0.3184082774
310	0.3181266553
311	0.3177582468
312	0.3176505068
313	0.3173032687
314	0.317035853
315	0.3166526191
316	0.316190058
317	0.316009181
318	0.3155316397
319	0.3152218213
320	0.3149519915
321	0.3146996179
322	0.3143748502
323	0.3139628629
324	0.3136641249
325	0.3134629132
326	0.3130681964
327	0.3127200608
328	0.3124570711
329	0.3121969908
330	0.3119178756
331	0.3116213042
332	0.3113707877
333	0.310914912
334	0.3106172573
335	0.3104892754
336	0.3103610768
337	0.3101091366
338	0.3098726098
339	0.3095682697
340	0.3092803027
341	0.3089576706
342	0.3087451618
343	0.3083080114
344	0.3082044187
345	0.3078488549
346	0.3075596807
347	0.3073741921
348	0.3070783944
349	0.3068402582
350	0.3065313684
351	0.3063196024
352	0.3061708524
353	0.3058242024
354	0.3055101128
355	0.3052778882
356	0.3052017181
357	0.3049762718
358	0.3046781528
359	0.304394457
360	0.3040984117
361	0.303740867
362	0.3035118614
363	0.303220923
364	0.3029489266
365	0.3026957173
366	0.3023655023
367	0.3020015817
368	0.3018042698
369	0.3015454275
370	0.3012338449
371	0.3010435588
372	0.300812758
373	0.3007847165
374	0.3005098107
375	0.3002558277
376	0.2997588802
377	0.2995559661
378	0.2994249201
379	0.2991778082
380	0.2990337627
381	0.2987303821
382	0.298495991
383	0.2982636427
384	0.2980414772
385	0.2977060314
386	0.2974362015
387	0.2973522627
388	0.2971881921
389	0.297046406
390	0.2968067223
391	0.2965374496
392	0.2963276645
393	0.296051923
394	0.2956662439
395	0.2954265602
396	0.2952285055
397	0.2950810245
398	0.2950014497
399	0.2947232941
400	0.2944317676
401	0.2942120473
402	0.2939251325
403	0.2935222757
404	0.2932548291
405	0.2929470225
406	0.2926924824
407	0.2924749904
408	0.2922509369
409	0.2921600032
410	0.2919277477
411	0.2917304977
412	0.291487038
413	0.2911486519
414	0.2910015733
415	0.2908456118
416	0.2906871122
417	0.290457828
418	0.2902991738
419	0.2901816842
420	0.2898909934
421	0.2895332011
422	0.2893500338
423	0.2890526576
424	0.2888785589
425	0.2886511627
426	0.2884577815
427	0.2881872398
428	0.2879995536
429	0.2876083962
430	0.2873571678
431	0.2871734433
432	0.2869828478
433	0.2866938902
434	0.2864578897
435	0.2860919573
436	0.2858828531
437	0.2857659206
438	0.285565916
439	0.2851687851
440	0.2849884343
441	0.2848028837
442	0.2843821063
443	0.2841266996
444	0.284100608
445	0.2838319542
446	0.283506877
447	0.2832482514
448	0.28276387
449	0.2825274052
450	0.2823477662
451	0.2820916785
452	0.2817972736
453	0.2813799009
454	0.2809394388
455	0.2807358748
456	0.2803648045
457	0.2802043242
458	0.2797534006
459	0.2793827637
460	0.2791664479
461	0.2789664433
462	0.2787384281
463	0.278420191
464	0.278223591
465	0.2779861976
466	0.2778159368
467	0.2775215319
468	0.2770632111
469	0.2768208657
470	0.2765973383
471	0.2764493931
472	0.2762794108
473	0.2759890295
474	0.2758254231
475	0.2755409844
476	0.2753924821
477	0.2751840278
478	0.2749639051
479	0.2747664384
480	0.2744136292
481	0.2742427493
482	0.2739917066
483	0.2736604083
484	0.2734288957
485	0.2731897072
486	0.2729767031
487	0.2725601661
488	0.2723735322
489	0.2720835842
490	0.2719090831
491	0.2715266539
492	0.271291551
493	0.2712211996
494	0.2709761304
495	0.27084592
496	0.2706762782
497	0.2703901682
498	0.2701170266
499	0.2698510656
500	0.2696962492
501	0.26966991
502	0.2694636533
503	0.2692429425
504	0.2690568347
505	0.2688502066
506	0.2685788292
507	0.2683399812
508	0.2680905789
509	0.2678721275
510	0.2676224157
511	0.2674706635
512	0.267222685
513	0.267023485
514	0.2666375274
515	0.2664973818
516	0.2662523127
517	0.2659577221
518	0.2656205431
519	0.26548569
520	0.2653425112
521	0.26509184
522	0.264885707
523	0.2646249148
524	0.2643017566
525	0.264099802
526	0.2639796507
527	0.2637784699
528	0.2635983976
529	0.2634336769
530	0.2632163088
531	0.2629063047
532	0.2627050311
533	0.2624249565
534	0.2622127572
535	0.2619756114
536	0.2617487414
537	0.2615545246
538	0.2613047509
539	0.2610693384
540	0.2608531155
541	0.2605972445
542	0.2603696935
543	0.260197328
544	0.2600180605
545	0.2597756221
546	0.2596349503
547	0.2595238985
548	0.259213848
549	0.2589842388
550	0.258817104
551	0.2584983563
552	0.2583830797
553	0.2582037657
554	0.2579405748
555	0.2577288862
556	0.2574120574
557	0.257242756
558	0.2570107172
559	0.2568635766
560	0.2566414731
561	0.2564134578
562	0.2561509479
563	0.2559566846
564	0.2554709104
565	0.2551613396
566	0.2549411549
567	0.254892237
568	0.254609578
569	0.2543611507
570	0.2541461349
571	0.2539846641
572	0.2537516967
573	0.2535277051
574	0.2533821895
575	0.2532124239
576	0.2530285137
577	0.2527909966
578	0.2524961429
579	0.2524178371
580	0.2523907396
581	0.2522096769
582	0.2520522762
583	0.2518801118
584	0.2516476707
585	0.25152803
586	0.2513176413
587	0.251103585
588	0.2509617215
589	0.2506867384
590	0.2504816887
591	0.2502620457
592	0.2501387838
593	0.2499067759
594	0.2497984478
595	0.2496734062
596	0.2493289847
597	0.2491247088
598	0.2489325966
599	0.2487692997
600	0.2486631846
601	0.2484743223
602	0.2481060531
603	0.2478453847
604	0.2476465871
605	0.2474447409
606	0.2473001538
607	0.2470932935
608	0.246906118
609	0.2468293443
610	0.2466554313
611	0.2464148345
612	0.2462517388
613	0.2460526317
614	0.2459160145
615	0.2456982595
616	0.2454910588
617	0.245347849
618	0.2452332224
619	0.2449907686
620	0.2448602642
621	0.2446636796
622	0.2444612608
623	0.2443206663
624	0.2441561933
625	0.243866462
626	0.2437849528
627	0.243758722
628	0.2436327828
629	0.243415848
630	0.2431803117
631	0.2430053154
632	0.2427237087
633	0.2424905402
634	0.2423086418
635	0.2421955008
636	0.2419225294
637	0.2417823993
638	0.2417044185
639	0.2414761557
640	0.2413152575
641	0.2411481691
642	0.2410536296
